"id","name","region","size","climat","population","points","residential and adjacent spaces","street networks","green spaces","public and business infrastructure and adjacent spaces","social and leisure infrastructure and adjacent spaces","citywide space","img"
"1","Красновишерск","Пермский край","Малый город","условно комфортный климат","14,8 тыс.чел.","169","39","30","22","21","20","37","https://api.индекс-городов.рф/uploads/city/emblem/3670/thumb_327_krasnovishersk.png"
"2","Касли","Челябинская область","Малый город","условно комфортный климат","15,7 тыс.чел.","168","30","30","23","27","25","33","https://api.индекс-городов.рф/uploads/city/emblem/3612/thumb_268_Kasli_2002.png"
"3","Костерево","Владимирская область","Малый город","условно комфортный климат","8,1 тыс.чел.","172","32","31","23","26","21","39","https://api.индекс-городов.рф/uploads/city/emblem/3659/thumb_316_kosterevo.png"
"4","Мышкин","Ярославская область","Малый город","условно комфортный климат","5,5 тыс.чел.","216","38","34","38","33","30","43","https://api.индекс-городов.рф/uploads/city/emblem/3772/thumb_429_myshkin.png"
"5","Острогожск","Воронежская область","Малый город","условно комфортный климат","31,8 тыс.чел.","179","41","31","17","34","22","34","https://api.индекс-городов.рф/uploads/city/emblem/3841/thumb_498_ostrogozhsk.png"
"6","Сысерть","Свердловская область","Малый город","условно комфортный климат","21 тыс.чел.","180","36","31","21","23","28","41","https://api.индекс-городов.рф/uploads/city/emblem/3994/thumb_651_Sysert.png"
"7","Вольск","Саратовская область","Средний город","условно комфортный климат","61,9 тыс.чел.","195","35","30","41","23","30","36","https://api.индекс-городов.рф/uploads/city/emblem/4190/thumb_848_volsk.png"
"8","Поворино","Воронежская область","Малый город","условно комфортный климат","16,7 тыс.чел.","163","27","26","33","24","20","33","https://api.индекс-городов.рф/uploads/city/emblem/3869/thumb_526_povorino.png"
"9","Мирный","Архангельская область","Малый город","условно комфортный климат","32,9 тыс.чел.","181","35","40","24","21","22","39","https://api.индекс-городов.рф/uploads/city/emblem/3756/thumb_413_mirny.png"
"10","Уварово","Тамбовская область","Малый город","условно комфортный климат","23,1 тыс.чел.","180","43","34","19","24","26","34","https://api.индекс-городов.рф/uploads/city/emblem/4029/thumb_686_uvarovo.gif"
"11","Иркутск","Иркутская область","Крупный город","условно комфортный климат","623,6 тыс.чел.","182","28","31","20","34","36","33","https://api.индекс-городов.рф/uploads/city/emblem/4407/thumb_1065_Irkutsk.png"
"12","Кемь","Республика Карелия","Малый город","тяжелые климатические условия","10,6 тыс.чел.","145","19","28","26","24","21","27","https://api.индекс-городов.рф/uploads/city/emblem/3619/thumb_275_Kem.png"
"13","Сокол","Вологодская область","Малый город","условно комфортный климат","36,4 тыс.чел.","188","33","36","48","21","26","24","https://api.индекс-городов.рф/uploads/city/emblem/3954/thumb_611_sokol.gif"
"14","Кандалакша","Мурманская область","Малый город","тяжелые климатические условия","30,4 тыс.чел.","191","44","36","24","22","26","39","https://api.индекс-городов.рф/uploads/city/emblem/3601/thumb_257_Kandalaksha.png"
"15","Кораблино","Рязанская область","Малый город","условно комфортный климат","11,1 тыс.чел.","182","26","41","32","20","23","40","https://api.индекс-городов.рф/uploads/city/emblem/3653/thumb_310_korablino.gif"
"16","Тара","Омская область","Малый город","условно комфортный климат","28,2 тыс.чел.","153","26","25","19","21","24","38","https://api.индекс-городов.рф/uploads/city/emblem/4002/thumb_659_Tara.png"
"17","Николаевск-на-Амуре","Хабаровский край","Малый город","тяжелые климатические условия","17,9 тыс.чел.","170","22","40","25","17","31","35","https://api.индекс-городов.рф/uploads/city/emblem/3796/thumb_453_nikolaevsk-na-amure.png"
"18","Лыткарино","Московская область","Средний город","условно комфортный климат","59,2 тыс.чел.","212","43","32","30","31","35","41","https://api.индекс-городов.рф/uploads/city/emblem/4145/thumb_803_Lytkarino.gif"
"19","Мариинский Посад","Чувашская Республика","Малый город","условно комфортный климат","8,5 тыс.чел.","179","39","37","18","27","23","35","https://api.индекс-городов.рф/uploads/city/emblem/3741/thumb_398_mariinski_posad.png"
"20","Любань","Ленинградская область","Малый город","условно комфортный климат","4,4 тыс.чел.","163","35","21","29","31","17","30","https://api.индекс-городов.рф/uploads/city/emblem/3723/thumb_380_luban.gif"
"21","Кинель","Самарская область","Малый город","условно комфортный климат","35,8 тыс.чел.","167","25","36","19","25","29","33","https://api.индекс-городов.рф/uploads/city/emblem/3626/thumb_283_Kinel.png"
